key,message,Final Category
2090,hello,greeting
2091,hi,greeting
2092,Hi,greeting
2093,Hello,greeting
2094,Hello till now i didn't get the free charge code. I requested on last mnth 10 what's the problem why it's not received,voucher
2095,hello,greeting
2096,https://dashboard.appsmonk.com/resources/issue_image_upload/MTQ1NzcxNjQ1MjA4MjEwMTA0.png I redeem these point on 27 Jan but didnt get the code till now,voucher
2097,hi,greeting
2098,helloo can you plz update me wen will i get the voucher from Bata which i redeemed on 2 march,voucher
2099,hi my two coupons of 100 rs each is pending since more than 30 days please do the needful and redeem it,voucher
2100,I was in bigbazar yesterday And I opened app https://dashboard.appsmonk.com/resources/issue_image_upload/MTQ1NzcxNzAzNjI5OTEwMTA5.png,checkin
2101,Yesrerday I was at your partner place with internate,checkin
2102,Still I didn't get the gift voucher please kindly provided,voucher
2103,https://dashboard.appsmonk.com/resources/issue_image_upload/MTQ1NzcxNjgyODgxMzEwMTEx.png hi i sent you guys a screen shot of my redeemed request .Could you guys let me know the status of it ? thanks,voucher
2104,hi,greeting
2105,i have redeemed 200 points. I have not received my gift cards.,voucher
2106,why still I didn't get my amazon coupan ? whats wrong with diz ?,voucher
2107,hi,greeting
2108,Where is the Amazon voucher ...I had redeemed 100 points on feb 6 It's been more than a month pathetic service,voucher
2109,hi,greeting
2110,vocher is very late kkk tank's,voucher
2111,its almost 1 month i applied for free charge couoans but u did nt given mai i know the reason,voucher
2112,please give ne any flipkart voucher instead of free charge voucher,voucher
2113,hello its almost 15 days please give me my vochers give ne flipkart vouchers,voucher
2114,hey i have redeemed four coupons however i got only 1.,voucher
2115,"hey i have redeemed four 100 rupees vouchers, however i got coupon only for one And today i am not able to receive any bounty point",voucher
2116,ok give me the Amazon voucher instead of recharge freecharge* i have applied for 3 freecharge voucher,voucher
2117,how many days i have wait for that gift card,voucher
2118,hi,greeting
2119,on 12th Feb I had redeemed 100 points for Amazon voucher but I still haven't received the voucher..  very disappointed..  please resolve asap,voucher
2120,hi i reddmed FreeCharge coupon on feb 6 th but still now i did not get,voucher
2121,hi,greeting
2122,hello,greeting
2123,hii,greeting
2124,hi,greeting
2125,hi,greeting
2126,today i ate in kfc but didnt got credit here no notification at all,checkin
2127,hi,greeting
2128,hey send me my free charge coupon,voucher
2129,i have any pending coupon codes,voucher
2130,Hi,greeting
2131,hi,greeting
2132,hello,greeting
2133,yesterday i went one outlet but when opened bounty app it said it need Internet connectivity to,checkin
2134,hello,greeting
2135,hi,greeting
2136,pz send the flipkart voucher. almost 3 weeks over. Still not received. If u guys won't send then pz return 100 rs balance,voucher
2137,I am not getting points recently,checkin
2138,hi,greeting
2139,hello,greeting
2140,it's been  a month and more...  still no gift card!!  :(,voucher
2141,hii,greeting
2142,hello! I had reached for the voucher and still it's not been delivered to me,voucher
2143,it's been a month that I requested for a voucher ok,voucher
2144,hi,greeting
2145,hi,greeting
2146,Hi,greeting
2147,Hi...I had placed a redeem request on 6th Feb...still haven't got it,voucher
2148,problem in mobile number verification lol better to uninstall ur app,other
2149,wen will I get voucher,voucher
2150,"Hi,  I haven't recieved my book my show voucher yet",voucher
2151,Hi,greeting
2152,hi,greeting
2153,may i know by when can i get my Amazon gift voucher worth 500??,voucher
2154,hi,greeting
2155,hello,greeting
2156,hiii okay fine i did not get my Amazon coupon ..plz send it ASAP,voucher
2157,hi my 19 Feb request is still pending,voucher
2158,"hi i have applied for freecharge coupon, around a month back can pls follow up on this",voucher
2159,"hi i have applied for freecharge coupon, around a month back can you pls look into this",voucher
2160,hi,greeting
2161,"hi bounty,, i had requested for flipkart voucher of 500 rupees last month. till now i dint get any response. please look at it once.",voucher
2162,it has been more than 40 days i didnt got my voicher yet,voucher
2163,hi,greeting
2164,hi,greeting
2165,hello bounty itz been almost 3weekz til nw i hav not got my flipkart 500rs voucher... its been a long tim waiting for thiz,voucher
2166,hello bounty its been disguesting to say u people abt the issue happining its been almost mor dan 3 weeks til nw i hv not got my flipkart 500 voucher pls mak it soon,voucher
2167,I have sent my reedem request last month but still i hasn't received any notification ohk,voucher
2168,hi,greeting
2169,hello I applied 3 coupons from bounty...one is for free charge n other two are Amazon ..all are 100 rupees voucher... Till now I didn't get any single of them.. Pls send me all the voucher's from Amazon only. I don't need free charge it's OK ..but please give me 3 voucher's from Amazon(100 3) ...soon please,voucher
2170,why have you not send my coupoun for which i have requested when its last 1month you are giving the same reasons why are you just sending the same msg,voucher
2171,when will i get my Amazon vouchers?,voucher
2172,"Hi I had redeemed my points for recharge coupon, its been 10 days since i redeemed no response yet.",voucher
2173,Hi,greeting
2174,i had redeemed my points for recharge but havnt received yet,voucher
2175,Hey. Guys its been a long time i havnt received a voucher.. N i am evn not gettin points for any check ins now..,voucher
2176,where can i find the qr code ibside partner's place,other
2177,hi,greeting
2178,hi,greeting
2179,hi,greeting
2180,hi,greeting
2181,hello,greeting
2182,i have applied 100rs recharge on feb14 bt still i didnt get any coupon. plz rectify this plz reply sir,voucher
2183,hello,greeting
2184,where i will get voucher of 10 feb hello,voucher
2185,hi,greeting
2186,am not geting point,checkin
2187,hi am venkatesh any limit snap bill,snapbill
2188,for last two months i'm not getting the boumty points,checkin
2189,hi,greeting
2190,hi,greeting
2191,please process my rr,voucher
2192,"hi ok,i applied for recharge vocher on feb 12 still i did't get please review this",voucher
2193,hi,greeting
2194,i have redeem maytra's gift coupoun for 500 rs i still didnt get the coupouns i redeemed on 8th march,voucher
2195,i havent got my redeemed gift coupoun yet,voucher
2196,Hi,greeting
2197,i uploded the bill and i didn't get any rewards.,snapbill
2198,hi till now iam not get gift vouch no more than 20 days over,voucher
2199,hi till now i am not get gift voucher no already 20days over,voucher
2200,i till now no response yesterday i scan qr code but bounty app it stopped after scan point also not get,other
2201,I HAVE MADE A REDEEM REQUEST TOWARDS FREECHARGE. I HAVEN'T RECEIVED ANY GIFT VOUCHER YET,voucher
2202,i have made a redeem request of 100 points towards recharge on 12/02/2016. I haven't received any gift voucher yet any one there.. assist me,voucher
2203,hello gdmg thnk u fr sending coupons still one more coupon is pending,voucher
2204,i dint get bounty points,checkin
2205,my voucher hasnt come yet... it's been one month since i asked for the voucher,voucher
2206,i still haven't got my voucher,voucher
2207,hi can u give flipkart gift vochers on my reedem points,voucher
2208,hi gift vochers are applied on before one month can u give those vochers,voucher
2209,hi,greeting
2210,hi i got a delivery problem from this bounty app,voucher
2211,hi,greeting
2212,i have sent a snap of my bill yesterday but but haven't received the points yet,snapbill
2213,https://dashboard.appsmonk.com/resources/issue_image_upload/MTQ1NzgwMjI0MTA5MDEwMjY4.png i didn't get any reward from last 8 feb,checkin
2214,Hey Hi guys I have requested for Flipkart vouchers,voucher
2215,iam getting only 2 points for checkin even iam in online  not getting 10 points for checkin at restaurants what i have to do to get 10 points for every checkin plz reply,points
2216,https://dashboard.appsmonk.com/resources/issue_image_upload/MTQ1Nzc0OTYyNjU3ODEwMjcz.png its been more than a month as i requested for reedem option when will it come ??,voucher
2217,my Bounty voucher is not coming,voucher
2218,hi,greeting
2219,hi,greeting
2220,hii where is my vocher for recharge,voucher
2221,hii,greeting
2222,hi,greeting
2223,Hi. i submitted 2 bills. 1 was on last saturday or sunday and other was on 8th March. but didn' t received any result for those. cool,snapbill
2224,I have reinstalled my bounty app after 2 months. I have previous points in my account but its been 20 days  to reinstall my account no notification is coming when I'm checking into restaurants.,checkin
2225,Hello,greeting
2226,hi,greeting
2227,hi,greeting
2228,hi,greeting
2229,hi,greeting
2230,i redeemed two times each worth 100 but i didnt get the vouchers,voucher
2231,hi,greeting
2232,Coupon,voucher
2233,i can buy coupon on feb17 till i didnot recieved any coupon k,voucher
2234,hello,greeting
2235,hello,greeting
2236,hello,greeting
2237,i redeemed for Amazon gv on 30th jan when i can expect it?,voucher
2238,I didn't receive my vouchers and any check in points in the past 20 days,voucher
2239,"still I have  not received my gv, please send me the gv.",voucher
2240,hey t3 tell me how to change registered mobile number,other
2241,My mobile verification is not working.I amnt getting checkin points.plz resolve it soon,checkin
2242,"Hello , I have ordered otg pendrive worst of points 720 in November still I have not received product please provide me order status",voucher
2243,Hi,greeting
2244,hey i reedem my 199 points by making order of earphones.But  I didnot get my earphones.I made a request on 1-Mar-2016. its nearly 8 working days. please resolve the issue.,voucher
2245,Hi,greeting
2246,hi,greeting
2247,hi i applied a amazon gift coupon on 5th feb but still i didn't get it,voucher
2248,I am not getting any checkin Abounty,checkin
2249,hi,greeting
2250,hi,greeting
2251,i did not got my freecharge coupon,voucher
2252,hi r u there i have redeemed 100 points three times i.e 300 points.,voucher
2253,out of that i want to withdraw 100 points to my account and rest 200 points will be claimed for mobile voucher hello r u there,voucher
2254,not able to see notifications,checkin
2255,"hi, I have been to many places in the list last week but am not getting any popup to mention the check in.. please check from your end that's okk.. online",checkin
2256,"I am using a different number now, how do I change my number on the bounty account?",other
2257,given promocode not working i used that promocode in freerechrage but it says invalid coupen ya u are right,voucher not working
2258,"i had flipkart bill im scanning it , is showing not valid",voucher not working
2259,iam getting any gift codes hi gm,voucher
2260,hi I asked for a redeem request on 3rd March for mguru earphone,voucher
2261,hi,greeting
2262,i haven't got my Amazon voucher,voucher
2263,i am not getting the bouny point after updating the app,checkin
2264,hello,greeting
2265,hi,greeting
2266,i refered a friend and i did not get points please send me the flipkart coopen i don't get the flipkart coopen,voucher
2267,i have not yet get the flipkart Coopen,voucher
2268,when will i get the coopen hallo please reply,voucher
2269,i did not get the reward points when Will i get that point's when well i get the points,checkin
2270,hi,greeting
2271,hi,greeting
2272,am not getting any notifications from past 10 days yaa i visit am not getting any notifications,checkin
2273,1 month ago i requested for voucher but till now i am not getting any vaucher code i updated my app but i am not getting vaucher,voucher
2274,hi,greeting
2275,hii i did nt received flipkart couple,voucher
2276,Not yet got the gift voucher redeemed on 5 Th feb GM,voucher
2277,not yet received,voucher
2278,i had redeemed 500 rupee voucher on 22-feb-2016. but till now i have received the vochuer yet.,voucher
2279,wonderfull to see this update. i hope you will send me the redeemed voucher too,voucher
2280,i hope i will get my redeemed voucher this week . it's almost a month now,voucher
2281,i have applied for Myntra coupon on 27 th feb. but till date i didn't get any gift code OK yes that's one,voucher
2282,hi,greeting
2283,i have applied for myntra coupon on 27 th feb. till date i didn't get,voucher
2284,hi i am getting only 2 reward points even though connected to internet when visited to the place,points
2285,I got only 2 point every check in earlier I got 10 point what happens in  my bounty app,points
2286,i hav applied for redemption still not received,voucher
2287,hi hi satish.. i had entered request for flipkart voucher amd its been more than,voucher
2288,any reason for so much delay okay yes,voucher
2289,hi,greeting
2290,i requested for two 100 rs vouchers for free charge two months back,voucher
2291,hi,greeting
2292,hi,greeting
2293,hi i hav redeemed free charge two hundred ruppes coupon have not received yet one on feb 07 n one on feb 14,voucher
2294,i didn't recevied my free charge voucher . i requested 1 month ago,voucher
2295,hii,greeting
2296,hii,greeting
2297,Hi.only two points added but remaining 8 points not added on that data is available.may i know reasons please send meASAP,points
2298,hi still i didn't get my gift voucher,voucher
2299,hii im not getting bounty points what should I do,checkin
2300,hi gm I invited one of my friend today,referral points
2301,"i have redeemed Flipkart GV on 9th Feb and it is almost 1month, i didn't get any GV",voucher
2302,hi,greeting
2303,Hi This is Srinivas i have not received redemption for 100 recharge value.. it is been one month,voucher
2304,hello sir i don't  got the Vaucher very long time  sir,voucher
2305,hello i don't  got  any baucher i have ro apply four coupn,voucher
2306,hi,greeting
2307,"hi, can you let me know my redeem status.. I've requested for freecharge vouchers one month back. i don't use them much, can you issue bookmyshow vouchers instead? there?",voucher
2308,hello,greeting
2309,hi,greeting
2310,hi,greeting
2311,hi,greeting
2312,hi,greeting
2313,hi,greeting
2314,"i redeemed for myntra voucher, but i didnt get the voucher. its been 20 days yup thank you",voucher
2315,hi,greeting
2316,i have reedemed my points for a bata voucher worth 250,voucher
2317,https://dashboard.appsmonk.com/resources/issue_image_upload/MTQ1Nzk0OTE4MDY4NjEwNDE2.png https://dashboard.appsmonk.com/resources/issue_image_upload/MTQ1Nzk0OTE5MjM0NDEwNDE2.png u can see the points difference her,points
2318,hi,greeting
2319,im waiting for my myntra voucher,voucher
2320,hi,greeting
2321,hi i ordered mguru headset in bounty app but it's not delivered to me,voucher
2322,Hello the auto check in is not working . pls help.,checkin
2323,Hello Am I supposed to wait this long for a reply?,voucher
2324,hii,greeting
2325,hello,greeting
2326,"This is  very bad sir!"" u didnt send me vocher of amazon!! I waited for nearly one mnth?? See here i lost 100 rs https://dashboard.appsmonk.com/resources/issue_image_upload/MTQ1Nzc2NzMyMjIzOTEwNDI3.png",voucher
2327,hi,greeting
2328,Hello,greeting
2329,hi bounty till now i havenot received my last 3 gift vouchers... ok thanks...expecting on monday,voucher
2330,why im not getting my voucher you r telling the samething from pasr 10 days,voucher
2331,sir i enter the promocode and i didnt rrceive my points hh,referral points
2332,hi,greeting
2333,plz send gift voucher,voucher
2334,Hi,greeting
2335,i have applied for the coupon but still not received yet its been a long time,voucher
2336,Hi,greeting
2337,hi,greeting
2338,hi,greeting
2339,hello,greeting
2340,recently all my uploaded bill have been rejected by bounty Could you provide me the exact reason for the same. else i am not willing to spend any more efforts on this app,snapbill
2341,i m not getting my gift voucher of mobile recharge,voucher
2342,"i requested you to send freecharge voucher of 100points, as you said that you have some problem with freecharge. So please send my point to account, later on i will request you to generate voucher",voucher
2343,hi,greeting
2344,hi i have redeemed so many points still have not received vouchers,voucher
2345,why am i getting 5 points instead of 10 after latest update,points
2346,hi,greeting
2347,hello,greeting
2348,"I had redeemed my points on 2 nd March and ordered for 16 gb memory card,but still haven't received any update or notification on it",voucher
2349,Hi,greeting
2350,hi,greeting
2351,Hi,greeting
2352,"Hello, I raised a request for an amazon coupon on 19 Feb, and it was informed to me that I will get it in 4 working days. But till now i have not received anything related to that.",voucher
2353,"Hi, i have raised a request for an amazon coupon on 19 Feb, but till now i have not received any info related to it. kindly process it fast",voucher
2354,Where is my last redeem request?? what is the status??,voucher
2355,hello team my coupons are being pending for more than a month now please do the need full asap,voucher
2356,hi,greeting
2357,hi,greeting
2358,Hi team I redeem my vouchers last month but not yet received any vouchers kindly update and share voucher codes.,voucher
2359,https://dashboard.appsmonk.com/resources/issue_image_upload/MTQ1Nzc3MzE0MjQ3MTEwNDg3.png I didn't receive my coupan Ok,voucher
2360,Hi,greeting
2361,Hi,greeting
2362,sir i have reedemed for 100 rs cupon of amazon.but i donot got the boucher,voucher
2363,hi,greeting
2364,I m not getting points,checkin
2365,I m not getting point,checkin
2366,my boucher didn't come yet,voucher
2367,hi k i hav updated the app now send me Rs. 100 voucher wich is pending from past 1 month,voucher
2368,Hi I redeem two time for flipcart voucher 1 month is over but i Am not getting anything from ur side,voucher
2369,hi,greeting
2370,what is this qr code ??,other
2371,hello @bounty I have requested for redemption of 100 points for Recharge on feb11 but still i didn't received any voucher,voucher
2372,Hello @bounty I have requested for 100 points redemption,voucher
2373,but I didn't received any voucher it's been 15 days already,voucher
2374,hi im not getting any alerts?,checkin
2375,its benn over a month since i applied for dominos coupon!! but still dint receive it!! i want to knoe where is it and want it ASAP,voucher
2376,its been over a month since i applied for dominos coupon!! but still dint receive d  same?? i want it ASAP,voucher
2377,amazon code which i have recived today is not valid,voucher not working
2378,hi,greeting
2379,hi team last month i reedem 3 vouchers stil not yet received vouchers please share as soon as possible waitng for positive response,voucher
2380,I'm not getting my bounty coupon till,voucher
2381,I'm not getting coupon code I'm not getting bounty coupon at15th February,voucher
2382,hi,greeting
2383,"i requested for  rs100 freecharge voucher on 8th feb,i didnot recieve till now and points also got deducted from my account.So when i will recieve that??",voucher
2384,hi,greeting
2385,hello,greeting
2386,hello,greeting
2387,hello,greeting
2388,"hi ref to your email that there is a problem with redemption of points at freecharge, plz redeem those 100 points for me at amazon instead",voucher
2389,hi,greeting
2390,hi,greeting
2391,hi,greeting
2392,Hello I am getting only 2 points for each checkin,points
2393,hi,greeting
2394,hi chat looks cool . but i dont get any bounty points now a days,checkin
2395,hi,greeting
2396,hai.i am not getting the points even though i check-in a restuarant.,checkin
2397,hi,greeting
2398,i m not getting check-in points.. its showing a msg like. .ur crush ditched u 10 points ..sorry!,checkin
2399,I applied for a coupon on 11th Feb,voucher
2400,my gift card has not arrived till don't mis on Monday plz,voucher
2401,hi,greeting
2402,hi,greeting
2403,hi bounty i have requested you for freefund free charge 100/rs voucher a month ago could you check on that what happened,voucher
2404,how do i snap a bill?,snapbill
2405,hi,greeting
2406,hello,greeting
2407,hello i had asked for some redeem 2 weeks a go but no response from you people,voucher
2408,hii now a days im not receiving any points though i check in to ur partner places,checkin
2409,hi,greeting
2410,hi,greeting
2411,hi,greeting
2412,My coupons not received yet k,voucher
2413,HELLO I hav not received any of my coupons which I hav requested for,voucher
2414,still i did not get my coupons how many days it will take to get coupons hello,voucher
2415,hi,greeting
2416,hi 3 weeks back  i applied for flipkart coupon which is 100rs still now i didn't get pls fix this issue asap,voucher
2417,I'm in bounty zone but no alarm,checkin
2418,bounty is not working properly,checkin
2419,hi,greeting
2420,hii i requested for a voucher of rs 100 flipkart...a month has passed and still i have not recieved my voucher... plzzz help me...,voucher
2421,hi i have requested a myntra viu *voucher,voucher
2422,hi team i have not received my coupons,voucher
2423,hello,greeting
2424,i am not getting the sd card for which i redeemed my points.,voucher
2425,when will i receive mine sd card. which i redeemed.,voucher
2426,if we go to any partners place we have to get 10points but i git only 2points,points
2427,instead of 10 it giving only 2points,points
2428,"hi from the past 2 months i am not getting any rewards, though i am travelling through same place daily",checkin
2429,hi i have requested for 100 rs denomination for mobile recharge on the 15th of last month and i did not get any reward yet plz send me promotional code soon or else cancel my request ill choose another reward options thank you!,voucher
2430,hi I redeemed my points three days back.. but today only I updated my app.. when will get my gift voucher????,voucher
2431,hi,greeting
2432,its been more than a month and still have not got my voucher. this is the poorest of the poor services i have ever come across,voucher
2433,i have snaped bill 2 times within one hour.the bill was correct with the exaxct time.but i dint get points.,snapbill
2434,i dint get points today,checkin
2435,even tthough i am in bounty region,checkin
2436,i am not getting points even though i am in region,checkin
2437,hi,greeting
2438,hi just revert me with e-vouchers for my redeem point which r all i applied in the month of which i have applied in the month of Feb'16,voucher
2439,i m not getting check in since 15 days. ....,checkin
2440,hi,greeting
2441,hi,greeting
2442,hi anybody can support me i have redeemed on 15 feb till now i did not received coupon and one more thing bounty points also not coping,voucher
2443,hello,greeting
2444,hi,greeting
2445,Hi,greeting
2446,Hi,greeting
2447,"I requested for redemption last month 11th till now, i didnt get any coupon code.",voucher
2448,hi,greeting
2449,Hi sir i transferred 100rs gift card to flipkart on 27 Feb 2016 but still now I'm not getting the gift coupon.,voucher
2450,hello.. i has been asking for long time for gift voucher. i upgraded my app also still i didn't get my voucher.,voucher
2451,Hi,greeting
2452,hello,greeting
2453,hi,greeting
2454,where is my gift voucher??? this is Monday,voucher
2455,isn't a live chat??? i need composition for waiting more than a month or ill delete this app,voucher
2456,hi i have redeem 3 voucher but still i haven't receive ..,voucher
2457,hi I have not received my redeem voucher which was redeemed last month.... kindly send it,voucher
2458,"hi ok i m facing issues from few months from my bounty app.. its not detection my internet connection, its not detection the location of the restaurant and when i get a notification i clicked on it.. its with in 15mins oly but the app crashes saying there is not internet connection. please help to me resolve this issue",checkin
2459,hi,greeting
2460,hi,greeting
2461,hi bhagat I applied for e gift voucher on 21st February,voucher
2462,i did nt git my recharge vouchers recharge option is nt there why it so flipkart vouchers when it will be,voucher
2463,even though if i go to onlinecigot only 2 points,points
2464,i didnt got my recharge voucher more than 1 month have been finished respond to me,voucher
2465,hii,greeting
2466,hello,greeting
2467,hi i have sent redeem request for jabong coupons on 15th feb and 5th march....i have not received any coupon till date....,voucher
2468,hello I am not any check ins for a long time,checkin
2469,Why am I not receiving any check ins for the past two weeks today is Monday,checkin
2470,hello,greeting
2471,m not getting any alert OK,checkin
2472,status my order... k tks..,voucher
2473,status my order? how long days u will tack to delivered... weighting for your reply...,voucher
2474,i entered the referal code but didnt receive my credits,referral points
2475,hi,greeting
2476,i dont get my gift card which was redeemed on 20th feb,voucher
2477,I have requested the voucher in the last month still i didn't get it.could you please let me know when can i expect it,voucher
2478,hello,greeting
2479,hi I received only 2 points instead of 10 points when I visit your partner place,points
2480,hi i received bookmyshow voucher but wen i try to redeem error thrown saying already used but i haven't used that voucher,voucher not working
2481,I didn't received my recharge of past 2 request,voucher
2482,hi,greeting
2483,hi i applied free charge one month back.i don't have voucher code till now please send me voucher code immediately,voucher
2484,please send me voucher code,voucher
2485,hi,greeting
2486,I applied for Amazon 500 rs but after 1 month also I dint get,voucher
2487,i applied for amazon 500rs the team took 500 from my points one month ago but still i did not get coupon,voucher
2488,I am not get bounty check in okay,checkin
2489,hi,greeting
2490,hi,greeting
2491,"I still haven't Received my last 2 amazon Gift cards,Worth 10 worth 100rs each & One 100rs Snapdeal voucher from months ago",voucher
2492,hi,greeting
2493,I invited my friend but still I didn't redeemed thank you,referral points
2494,hi havent received by voucher for the redeemed points..its been a month..please help,voucher
2495,I'm not getting points even when I am in partner place,checkin
2496,hi i didn't receive my gift voucher yet that i redeemed 2 weeks ago,voucher
2497,hi,greeting
2498,hello,greeting
2499,hi i have redeemed an amazon coupon in feb still i didn't received my coupon,voucher
2500,I have redeemed 100 coupon for amazon.But they didn't sebd me any coupon I have redeemed 100 coupon for amazon.But they didn't sebd me any coupon,voucher
2501,hii,greeting
2502,hey hii https://dashboard.appsmonk.com/resources/issue_image_upload/MTQ1NzgwNzA4Nzk5NjEwNzY2.png please look for bill copy,snapbill
2503,hi,greeting
2504,my redemption was no processed,voucher
2505,my 100 rs voucher is still not came .!! i have submitted my request on 2nd week of feb,voucher
2506,hi,greeting
2507,hi,greeting
2508,hi,greeting
2509,Hi,greeting
2510,i have requested 100 points for recharge but still i hav nt got the coupon code,voucher
2511,i have requested 100 points for recharge coupon but still i have not got the coupon code hello,voucher
2512,Hello I'm not getting bounty check-in notifications can please check and rectify the problem,checkin
2513,hello is it working this option,checkin
2514,hi,greeting
2515,hi,greeting
2516,hey it's been two months i didn't get recharge voucher!,voucher
2517,hi,greeting
2518,Long back I raised a request for myntra coupon of worth 500 rs till now I haven't received any update on it,voucher
2519,Hello,greeting
2520,I had requested fr a freecharge coupon on my account...redeeming my bounty rewards...i received a notification stating tha i'll have to update my app in order to receive that coupon...i have updated my app but still have not received the coupon...i request u to look into the same and take whatever action needs to be taken,voucher
2521,requested voucher on 15th feb. request still pending. kindly check,voucher
2522,i have redeemed voucher for amazon worth 100 points on 8th feb. But have not received the voucher yet.,voucher
2523,i want to change mobile number is it possible,other
2524,i want to change my mobile no is it possible,other
2525,hi,greeting
2526,Hello...REEDEMED 100 recharge voucher on 8th Feb ...there is no response till date ...whats wrong....mailed many times....i need explanation,voucher
2527,when am I going to receive my gift voucher requested on Feb 18th?,voucher
2528,when we are send to my coupon,voucher
2529,hy whn u il send my gift voucher,voucher
2530,"dear sir, i requested for a gift card from amazon in january. but still i haven't got...",voucher
2531,i have asked for flipkart voucher long back but i didn't get it,voucher
2532,i'm not getting check in messages since last one week,checkin
2533,I had redeemed 100 points in amazon. Got mail saying open app to get vocher. but i don't find voucher. pls help me with this,voucher
2534,What happened to my domino's gift voucher???,voucher
2535,https://dashboard.appsmonk.com/resources/issue_image_upload/MTQ1NzgzNzIwMDk4NDEwODIw.png Its already a month since I requested for a coupon.,voucher
2536,"Hello,My friend is not getting vouchers. Ok Fine",voucher
2537,HI bounty,greeting
2538,hi,greeting
2539,i gave reedem request to free charge on 11february.But i have not received my coupon code.kindly send the coupon code,voucher
2540,i gave redeem request on 11th February. but i have not received my coupon code.kindly send the coupon code,voucher
2541,hi I dont get any notifications when I visit the partner places,checkin
2542,hi I don't get reward points wen am in the Wi-Fi zone of partner places,checkin
2543,hello team still my flipkart voucher is not delivered inspite of updating its pending from past two months,voucher
2544,i have redeemed my points on feb 14th but till now i have not got my gift card i have redeemed my points on feb 14th but till now i have not got my gift card i have redeemed my points on feb 14th but till now i have not got my gift card,voucher
2545,hi,greeting
2546,hi,greeting
2547,hi,greeting
2548,its nearly 1 and half month i havr not received my freecharge voucher please send it today or return my points,voucher
2549,I didn't get the redeemed amount of mobile recharge request it has been more than 21 days ago,voucher
2550,I didn't get the redeemed amount of mobile recharge request it has been more than 26 days ago,voucher
2551,hi,greeting
2552,hii,greeting
2553,gud evening my 16gb sandisk ultra sd card is not come what hefand sar plzz reple me,voucher
2554,hello,greeting
2555,hello,greeting
2556,hi,greeting
2557,hiii why u decreased the check in pont?,points
2558,hii,greeting
2559,why i am not getting my Amazon coupon even a after 2 months,voucher
2560,hi,greeting
2561,hello,greeting
2562,Hi I have asked for a coupon on 23 Rd feb It's been long time still I have not received the coupon yet,voucher
2563,"hi, i applied recharge voucher on last month but still i didn't received any coupon please tell me whether i will continue with you or i will un install this application",voucher
2564,my feb9 redeem request freecharge coupon ni my freecharge coupen Feb 9 redeem request not delivered to me,voucher
2565,where iz my voucher ?,voucher
2566,hi,greeting
2567,Hello.. i have requested a redeem of Rs.100 on 7 feb 2016.. but i didnt get my e voucher for mobike recharge.. how many more days it will take..,voucher
2568,hi,greeting
2569,hii,greeting
2570,hello,greeting
2571,I still didn't get freecharge voucher.It's almost one month.I locked 100 on February 15.,voucher
2572,I still didn't get freecharge voucher.It's almost one month.I locked 100 points on February 15.,voucher
2573,I didn't get my flip kart voucher Wen will i get back the voucher,voucher
2574,hi,greeting
2575,hello,greeting
2576,hi,greeting
2577,"hi, 3 weeks back i redeemed 500 points towards dominos pizza, till today there is no reply.",voucher
2578,"hi, where is my redeemed points (selected dominos pizza) which was redeemed 3 weeks back ? get lost, uninstalling bounty",voucher
2579,hi redeem requested on 7th feb 2016 is not yet delivered.,voucher
2580,hi redeem request on 7th feb 2016 is not yet delivered,voucher
2581,"I placed 2 requests for Amazon gift vouchers, first on 10th feb, another on 2nd march Haven't got any yet https://dashboard.appsmonk.com/resources/issue_image_upload/MTQ1Nzg0NzY3MDM5ODEwODg0.png",voucher
2582,Hi,greeting
2583,hello bounty,greeting
2584,still I didn't get my vouchers..I have applied past 1 month ago,voucher
2585,hello,greeting
2586,hai why Iam not getting notifications even I'm at my partner place,checkin
2587,whatever u have mentioned I have did still I'm not getting any notifications,checkin
2588,hello verify mobile doesn't work even when I got sms!,other
2589,hi,greeting
2590,hi I have redeemed my 250 points in dominos but still i didn't receive any voucher,voucher
2591,hi,greeting
2592,I have requested for mobile Recharge,voucher
2593,Hi I have redeemed my bounty points long back but still i havnt received those yet,voucher
2594,hi i applied for redeem request still did not get a y coupon.,voucher
2595,hiii bounty i m not getting any check in's these days,checkin
2596,"Hi,  I have a coupon for BookMyShow... how can I use it... I tried using it but it is saying that the coupon is expired",voucher not working
2597,hi,greeting
2598,hi,greeting
2599,hi bounty,greeting
2600,I'm not got a gift card k k 10q,voucher
2601,i sent 100 gift card in amozon.  but not get coupon,voucher
2602,I have raised a request for one of the coupons where do I check the status of my voucher,voucher
2603,from last 4days(after latest update) im not getting any auto check ins,checkin
2604,i refer to a friend buy reward not received by me,referral points
2605,hai please tell me when I will get my gift voucher,voucher
2606,hi,greeting
2607,hi,greeting
2608,I have recently visited to biriyani zone https://dashboard.appsmonk.com/resources/issue_image_upload/MTQ1ODAyNDkxNzU3MjEwOTYz.png I want to points added to my account,snapbill
2609,i have not received the gift which i had redeemed,voucher
2610,hi,greeting
2611,hi,greeting
2612,hi there,greeting
2613,hello,greeting
2614,hi,greeting
2615,hi Hi I request a Amazon gift card but till now I did not get my vouchers,voucher
2616,hi,greeting
2617,hi Hi I requested a Amazon gift card month before till now I didn't receive my vouchers please get back to me,voucher
2618,hi,greeting
2619,I didn't received my vocher when u people sent?,voucher
2620,hi,greeting
2621,iam send my reqst 100 bal but did not get any  vocher,voucher
2622,hello,greeting
2623,hii,greeting
